Peripheral;DNDM;Human Readable Name
LL1;DV_wafhnd:WH_LL1_VLV_PMPSTRT@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 start pump valve command signal
LL1;DV_wafhnd:WH_LL1_VLV_PMPMAIN@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 main pump valve command signal
LL1;WXLLxLL1:Sensor.SoftEndVentVLV_NOT.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 soft end vent valve open signal
LL1;WXLLxLL1:Sensor.MainVentVLV_NOT.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 main vent valve open signal
LL1;WXLLxLL1:Sensor.SoftStartVentVLV_NOT.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 soft start vent valve open signal 
LL1;WXLLxLL1:Sensor.EqualizationVLV_NOT.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 pressure equalization valve open signal
LL1;DV_wafhnd:WH_LL_PURGE_OPEN_POS@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 purge valve open analog value
LL1;DV_wafhnd:WH_LL1_ATM_EQ_VLV@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 pressure equalization valve open command
LL1;DV_wafhnd:WH_LL1_VLV_VENTEND@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 soft end vent valve open command
LL1;DV_wafhnd:WH_LL1_VLV_VENTSTRT@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 soft start vent valve open command 
LL1;DV_wafhnd:WH_LL1_VLV_VENTMAIN@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 main vent valve open command
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_TOP_WPRST_LSEN.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 wafer present optical signal Top
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_TOP_WPRST_LSEN.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL ;Loadlock 1 wafer present optical signal Top
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_BOT_WPRST_LSEN.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 wafer present optical signal Bottom
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_BOT_WPRST_LSEN.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 wafer present optical signal Bottom
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_WPOS_1_LSEN.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 wafer placed correctly optical 1 signal
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_WPOS_1_LSEN.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 wafer placed correctly optical 1 signal
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_WPOS_2_LSEN.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 wafer placed correctly optical 2 signal
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_WPOS_2_LSEN.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 wafer placed correctly optical 2 signal
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_WPOS_3_LSEN.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 wafer placed correctly optical 3 signal
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_WPOS_3_LSEN.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 wafer placed correctly optical 3 signal
LL1;WXDNxVWH:Sensor.LL.WH_LL_R_PHI_CALIB_AXR_LSEN.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 atmospheric robot gripper detected signal
LL1;WXDNxVWH:Sensor.LL.WH_LL_R_PHI_CALIB_AXR_LSEN.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 atmospheric robot gripper detected signal
LL1;WXDNxVWH:Sensor.LL.WH_LL_POS_SURZHEIGHT.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlocks SUR Z height sensor signal
LL1;WXDNxVWH:Sensor.LL.WH_LL_POS_SURZHEIGHT.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlocks SUR Z height sensor signal
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_TMP_WATERTS_OUT_N.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlocks water in temperature signal (Thermal shield LL1)
LL1;WXDNxVWH:Sensor.LL1.WH_LL1_TMP_WATERTS_OUT_N.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlocks water in temperature signal (Thermal shield LL1)
LL1;WXDNxVWH:Sensor.WE_GEN.WH_CT_PRS_CDA.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;CDA supply pressure 
LL1;WXDNxVWH:Sensor.WE_GEN.WH_CT_PRS_CDA.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;CDA supply pressure 
LL1;WXDNxVWH:Sensor.WE_GEN.WH_CT_PRS_N2.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Nitrogen supply pressure
LL1;WXDNxVWH:Sensor.WE_GEN.WH_CT_PRS_N2.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Nitrogen supply pressure
LL1;DV_wafhnd:WH_LL_XCDA_PRS@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;XCDA supply pressure
LL1;WXDNxVWH:Sensor.LL.WH_LL_PMP1_STAT_ALARM.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlocks pump alarm signal
LL1;WXDNxVWH:Sensor.LL.WH_LL_PMP1_STAT_ALARM.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlocks pump alarm signal
LL1;WXDNxVWH:Sensor.LL.WH_LL_PMP1_STAT_RUN.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlocks pump run signal
LL1;WXDNxVWH:Sensor.LL.WH_LL_PMP1_STAT_RUN.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlocks pump run signal
LL1;WXDNxVWH:Sensor.LL.WH_LL_PMP1_N_TMP.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlocks pump temperature signal
LL1;WXDNxVWH:Sensor.LL.WH_LL_PMP1_N_TMP.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlocks pump temperature signal
LL1;DV_wafhnd:WH_LL_EN_SURZHEIGHT@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlocks SUR Z height sensor on command
LL1;WXLLxLL1:Sensor.PresAbsolute.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 absolute pressure signal
LL1;WXLLxLL1:Sensor.PresRelative.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 relative pressure signal
LL1;WXLLxLL1:MeasSys.PV.PredPresCalc.PredPres.ODT_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 predicted pressure
LL1;DV_wafhnd:WH_LL_EN_SURZHEIGHT_ATM_RPHI@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Enable sensor for calibrating Z-height SUR signal
LL1;DV_wafhnd:WH_LL_EN_ATM_RPHI_CALIB@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Enable the RPhi calibration sensor signal
LL1;DV_wafhnd:WH_LL1_TMP_WATERTS_OUT_DIAGN@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Diagnostic input for temperature sensor signal
SUR;WXRBxIVR2:MeasSys.IvrInverseKinematics.ODT_POS_PHI.DNDMxDEF:VARIABLE_POOL;SUR measured Phi position
SUR;WXRBxIVR2:MeasSys.IvrInverseKinematics.ODT_POS_R.DNDMxDEF:VARIABLE_POOL;SUR measured R position
SUR;WXRBxIVR2:MeasSys.PosArmZCorr.ODT_1.DNDMxDEF:VARIABLE_POOL;SUR measured Z position
SUR;WXRBxIVR2:Spg.IvrKinematics.PosDelayPhi.ODT_OUT.DNDMxDEF:VARIABLE_POOL;SUR Phi setpoint
SUR;WXRBxIVR2:Spg.IvrKinematics.PosDelayR.ODT_OUT.DNDMxDEF:VARIABLE_POOL;SUR R setpoint
SUR;WXRBxIVR2:Spg.Z.Select.ODT_POS.DNDMxDEF:VARIABLE_POOL;SUR Z setpoint
SUR;WXRBxIVR2:MeasSys.PosArmTh1Corr.ODT_1.DNDMxDEF:VARIABLE_POOL;SUR measured Theta 1 position
SUR;WXRBxIVR2:MeasSys.PosArmTh2Corr.ODT_1.DNDMxDEF:VARIABLE_POOL;SUR measured Theta 2 position
SUR;WXRBxIVR2:Spg.IvrKinematics.PosDelayTh1.ODT_OUT.DNDMxDEF:VARIABLE_POOL;SUR Theta 1 position setpoint
SUR;WXRBxIVR2:Spg.IvrKinematics.PosDelayTh2.ODT_OUT.DNDMxDEF:VARIABLE_POOL;SUR Theta 2 position setpoint
SUR;WXRBxIVR2:Ctrl.Hor.FF.SumFFTh1.ODT_1.DNDMxDEF:VARIABLE_POOL;SUR Theta 1 controller output
SUR;WXRBxIVR2:Ctrl.Hor.FF.SumFFTh2.ODT_1.DNDMxDEF:VARIABLE_POOL;SUR Theta 2 controller output
SUR;WXRBxIVR2:Ctrl.Ver.FF.sumFF.ODT_1.DNDMxDEF:VARIABLE_POOL;SUR Z controller output
SUR;DV_wafhnd:WH_DSC_VLV_ATM_IVR_O_POS@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;DSCB vacuum valve open analog value
SUR;DV_wafhnd:WH_DSC_VLV_VAC_IVR_O_POS@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;DSCB atmospheric valve open analog value
SUR;WXDNxVWH:Sensor.WE_GEN.WH_DSC_IVR_PRS.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;DSCB nitrogen pressure analog value
SUR;WXDNxVWH:Sensor.WE_GEN.WH_DSC_IVR_PRS.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
SUR;WXDNxVWH:Sensor.SUR.WH_DSC_SUR_FLW.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;SUR DSCB nitrogen flow analog value
SUR;WXDNxVWH:Sensor.SUR.WH_DSC_SUR_FLW.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
SUR;WXDNxVWH:Sensor.SUR.WH_BB_SURBRKAPPLIED.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;SUR brake box applied signal
SUR;WXDNxVWH:Sensor.SUR.WH_BB_SURBRKAPPLIED.DV.E_TRACE.DNDMxDEF:VARIABLE_POOL;
SUR;DV_wafhnd:WH_SUR_POS_BRKNOTACTIVE@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;SUR Z brake release not active analog value
SUR;DV_wafhnd:WH_SUR_DIS_BRK_MOTZ@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;SUR Z brake release command signal
SUR;DV_wafhnd:WH_SUR_DIS_SHRT_MOTZ@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;SUR Z motor brake box disable short command
SUR;DV_wafhnd:WH_SUR_ESC_LEFT_P_IMP@M_VALUE.DNDMxDEF:VARIABLE_POOL;SUR ESC left electrode 1 wafer present
SUR;DV_wafhnd:WH_SUR_ESC_LEFT_N_IMP@M_VALUE.DNDMxDEF:VARIABLE_POOL;SUR ESC left electrode 2 wafer present
SUR;DV_wafhnd:WH_SUR_ESC_CENTER_P_IMP@M_VALUE.DNDMxDEF:VARIABLE_POOL;SUR ESC middle electrode 1 wafer present
SUR;DV_wafhnd:WH_SUR_ESC_CENTER_N_IMP@M_VALUE.DNDMxDEF:VARIABLE_POOL;SUR ESC middle electrode 2 wafer present
SUR;DV_wafhnd:WH_SUR_ESC_RIGHT_P_IMP@M_VALUE.DNDMxDEF:VARIABLE_POOL;SUR ESC right electrode 1 wafer present
SUR;DV_wafhnd:WH_SUR_ESC_RIGHT_N_IMP@M_VALUE.DNDMxDEF:VARIABLE_POOL;SUR ESC right electrode 2 wafer present
SUR;CG_wafhnd:EA_WH_ESC.APP_CHAN.SUR_WAFER_CLAMPED.DNDMxDEF:VARIABLE_POOL;SUR ESC wafer clamped signal
SUR;CG_wafhnd:EA_WH_ESC.APP_CHAN.SUR_WAFER_CLAMPED_GLITCH_DETECTED.DNDMxDEF:VARIABLE_POOL;SUR ESC wafer clamp glitch (capacity dip) detected
SUR;CG_wafhnd:EA_WH_ESC.APP_CHAN.SUR_WAFER_PRESENT.DNDMxDEF:VARIABLE_POOL;SUR ESC wafer present signal
SUR;CG_wafhnd:EA_WH_ESC.APP_CHAN.SUR_WAFER_PRESENT_GLITCH_DETECTED.DNDMxDEF:VARIABLE_POOL;SUR ESC wafer present glitch (capacity spike) detected
SUR;CG_wafhnd:EA_WH_ESC.APP_CHAN.SUR_WCL_GLITCH_DETECT_RESET.DNDMxDEF:VARIABLE_POOL;SUR ESC reset wafer clamped glitch detected command
SUR;CG_wafhnd:EA_WH_ESC.APP_CHAN.SUR_WPR_GLITCH_DETECT_RESET.DNDMxDEF:VARIABLE_POOL;SUR ESC reset wafer present glitch detected command
SUR;DV_wafhnd:WH_SUR_ESC_LEFT_P@M_VALUE_VOLTAGE.DNDMxDEF:VARIABLE_POOL;SUR ESC left electrode 1 voltage
SUR;DV_wafhnd:WH_SUR_ESC_LEFT_N@M_VALUE_VOLTAGE.DNDMxDEF:VARIABLE_POOL;SUR ESC left electrode 2 voltage
SUR;DV_wafhnd:WH_SUR_ESC_CENTER_P@M_VALUE_VOLTAGE.DNDMxDEF:VARIABLE_POOL;SUR ESC middle electrode 1 voltage
SUR;DV_wafhnd:WH_SUR_ESC_CENTER_N@M_VALUE_VOLTAGE.DNDMxDEF:VARIABLE_POOL;SUR ESC middle electrode 2 voltage
SUR;DV_wafhnd:WH_SUR_ESC_RIGHT_P@M_VALUE_VOLTAGE.DNDMxDEF:VARIABLE_POOL;SUR ESC right electrode 1 voltage
SUR;DV_wafhnd:WH_SUR_ESC_RIGHT_N@M_VALUE_VOLTAGE.DNDMxDEF:VARIABLE_POOL;SUR ESC right electrode 2 voltage
SUR;WXCLxESCUL:Sensor.SI_ECLAMP_Vn.ODT_CAPACITANCE.DNDMxDEF:VARIABLE_POOL;SUR ESC left electrode 1 capacity
SUR;WXCLxESCUL:Sensor.SI_ECLAMP_Vp.ODT_CAPACITANCE.DNDMxDEF:VARIABLE_POOL;SUR ESC left electrode 2 capacity
SUR;WXCLxESCUM:Sensor.SI_ECLAMP_Vp.ODT_CAPACITANCE.DNDMxDEF:VARIABLE_POOL;SUR ESC middle electrode 1 capacity
SUR;WXCLxESCUM:Sensor.SI_ECLAMP_Vn.ODT_CAPACITANCE.DNDMxDEF:VARIABLE_POOL;SUR ESC middle electrode 2 capacity
SUR;WXCLxESCUR:Sensor.SI_ECLAMP_Vn.ODT_CAPACITANCE.DNDMxDEF:VARIABLE_POOL;SUR ESC right electrode 1 capacity
SUR;WXCLxESCUR:Sensor.SI_ECLAMP_Vp.ODT_CAPACITANCE.DNDMxDEF:VARIABLE_POOL;SUR ESC right electrode 2 capacity
SUR;WXDNxVWH:Sensor.WE_GEN.WH_RGC_PRS_OUT.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Robot gravity compensator pressure analog value
SUR;WXDNxVWH:Sensor.WE_GEN.WH_RGC_PRS_OUT.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
SUR;DV_wafhnd:WH_RGC_VLV_GCOMP_VAC@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Robot gravity compensator vacuum valve command
SUR;DV_wafhnd:WH_SUR_ENC_INNER@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;SUR inner axis encoder position
SUR;DV_wafhnd:WH_SUR_ENC_OUTER@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;SUR outer axis encoder position
SUR;DV_wafhnd:WH_SUR_ENC_Z@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;SUR Z axis encoder position
SUR;WXDNxVWH:Sensor.WE_GEN.WH_CT_PRS_N2.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;Nitrogen supply pressure analog value
SUR;WXDNxVWH:Sensor.WE_GEN.WH_CT_PRS_N2.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
SUR;WXDNxVWH:Sensor.WE_GEN.WS2WH_UEXCH.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;WS to WH chuck at unload analog value
SUR;WXDNxVWH:Sensor.WE_GEN.WS2WH_UEXCH.DV.E_TRACE.DNDMxDEF:VARIABLE_POOL;
SUR;WXDNxVWH:Sensor.WE_GEN.WS2WH_PINDO.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;WS to WH Epins down analog value
SUR;WXDNxVWH:Sensor.WE_GEN.WS2WH_PINDO.DV.E_TRACE.DNDMxDEF:VARIABLE_POOL;
SUR;WXDNxVWH:Sensor.WE_GEN.WS2WH_PINUP.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;WS to WH Epins up analog value
SUR;WXDNxVWH:Sensor.WE_GEN.WS2WH_PINUP.DV.E_TRACE.DNDMxDEF:VARIABLE_POOL;
SUR;DV_wafhnd:WH_SUR_TMP_GRIP_N@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;SUR gripper temperature analog value 
SUR;WXDNxVWH:Sensor.SUR.WH_SUR_TMP_FLNG_N.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;SUR flange temperature analog value
SUR;WXDNxVWH:Sensor.SUR.WH_SUR_TMP_FLNG_N.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
SUR;WXDNxVWH:Sensor.SUR.WH_SUR_ACC_X.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;SUR accelerometer X analog value
SUR;WXDNxVWH:Sensor.SUR.WH_SUR_ACC_X.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
SUR;WXDNxVWH:Sensor.SUR.WH_SUR_ACC_Y.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;SUR accelerometer Y analog value
SUR;WXDNxVWH:Sensor.SUR.WH_SUR_ACC_Y.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
SUR;WXDNxVWH:Sensor.SUR.WH_SUR_ACC_Z.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;SUR accelerometer Z analog value
SUR;WXDNxVWH:Sensor.SUR.WH_SUR_ACC_Z.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
VPA;WEPP2xVPA:Spg.Z.Select.ODT_POS.DNDMxDEF:VARIABLE_POOL;VPA Ppins setpoint (coupling axis)
VPA;WEPP2xVPA:Ctrl.Z.FF.Notch_FB_FF.ODT_1.DNDMxDEF:VARIABLE_POOL;VPA Ppins controller output
VPA;WEPP2xVPA:MeasSys.TransRatio.ODT_1.DNDMxDEF:VARIABLE_POOL;VPA Ppins encoder position
VPA;WEPP2xVPA:Sensor.encoder_z.ODT_1.DNDMxDEF:VARIABLE_POOL;VPA Ppins measured position encoder
VPA;WERA2xVPA:Spg.Rz.Select.ODT_POS.DNDMxDEF:VARIABLE_POOL;VPA Rz setpoint
VPA;WERA2xVPA:Ctrl.Rz.FF.SumFF.ODT_1.DNDMxDEF:VARIABLE_POOL;VPA Rz controller output
VPA;WERA2xVPA:MeasSys.TransRatio.ODT_1.DNDMxDEF:VARIABLE_POOL;VPA Rz encoder position
VPA;WERA2xVPA:Sensor.accelerometer_x.ODT_1.DNDMxDEF:VARIABLE_POOL;VPA baseframe X accelerometer signal
VPA;WERA2xVPA:Sensor.accelerometer_y.ODT_1.DNDMxDEF:VARIABLE_POOL;VPA baseframe Y accelerometer signal
VPA;WERA2xVPA:Sensor.accelerometer_z.ODT_1.DNDMxDEF:VARIABLE_POOL;VPA baseframe Z accelerometer signal
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_FLW_IN.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;VPA BGDS flow sensor signal
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_FLW_IN.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_POS_VLVON_C.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;VPA BGDS main valve closed signal
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_POS_VLVON_C.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_POS_VLVQREL_C.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;VPA BGDS quick release valve closed signal
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_POS_VLVQREL_C.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_PRS_IN.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;VPA BGDS inlet pressure signal
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_PRS_IN.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_PRS_OUT.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;VPA BGDS output pressure signal
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_PRS_OUT.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_PRS_PCTRL.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;VPA BGDS controller pressure signal
VPA;WXDNxVWH:Sensor.BGDS.WH_BGDS_PRS_PCTRL.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
VPA;DV_wafhnd:WH_BGDS_VLV_QREL@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;VPA BGDS quick release valve close command
VPA;DV_wafhnd:WH_BGDS_VLV_ON@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;VPA BGDS main valve open command
VPA;DV_wafhnd:WH_BGDS_VLV_PCTRL_C@M_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;VPA BGDS pressure controller command
VPA;DV_wafhnd:WH_BGDS_SETP_PCTRL@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;VPA BGDS pressure controller setpoint
VPA;DV_wafhnd:WH_VPA_TMP_LCWTSU_IN_N@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;VPA LCW input temperature signal
VPA;DV_wafhnd:WH_VPA_TMP_LCWTSU_IN_N@E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;VPA LCW input temperature signal
VPA;WXDNxVWH:Sensor.VPA.WH_VPA_TMP_LCWTSU_OUT_N.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;VPA LCW output temperature signal
VPA;WXDNxVWH:Sensor.VPA.WH_VPA_TMP_LCWTSU_OUT_N.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;
