Peripheral;DNDM;Human Readable Name
AUR;CG_wafhnd:EA_WHN_BB_UR_CSR.APP_CHAN.OUTER_MOTOR_IPHASE_R.DNDMxDEF:VARIABLE_POOL;ALR outer motor brake box current phase R 
AUR;CG_wafhnd:EA_WHN_BB_UR_CSR.APP_CHAN.OUTER_MOTOR_IPHASE_S.DNDMxDEF:VARIABLE_POOL;ALR outer motor brake box current phase S 
AUR;CG_wafhnd:EA_WHN_BB_UR_CSR.APP_CHAN.OUTER_MOTOR_IPHASE_T.DNDMxDEF:VARIABLE_POOL;ALR outer motor brake box current phase T 
AUR;CG_wafhnd:EA_WHN_VAC_PRESS.APP_CHAN.UR_GRIP_VAC_PSEN_WAFER_CLAMPED.DNDMxDEF:VARIABLE_POOL;AUR wafer clamped signal
AUR;CG_wafhnd:EA_WHN_VAC_PRESS.APP_CHAN.UR_GRIP_VAC_PSEN_WAFER_PRESENT.DNDMxDEF:VARIABLE_POOL;AUR wafer present signal
AUR;WZCLxAUR_PSENE:Sensor.WHN_XR_GRIP_VAC_PSEN.DV.M_MON_OFFSET_GAIN_CORR.DNDMxDEF:VARIABLE_POOL;AUR gripper vacuum pressure
AUR;WZCLxAUR_PSENE:Sensor.WHN_XR_GRIP_VAC_PSEN.ODT_1.DNDMxDEF:VARIABLE_POOL;AUR gripper vacuum status (for wafer presence)
AUR;WXRBxAUR:Sensor.Hor.WHN_XR_BODY_INNR_ENC.ODT_1.DNDMxDEF:VARIABLE_POOL;AUR inner axis encoder position
AUR;WXRBxAUR:Sensor.Hor.WHN_XR_BODY_OUTR_ENC.ODT_1.DNDMxDEF:VARIABLE_POOL;AUR outer axis encoder position
AUR;WXRBxAUR:Sensor.Ver.WHN_XR_BODY_Z_ENC.ODT_1.DNDMxDEF:VARIABLE_POOL;AUR Z axis encoder position
AUR;WZCLxAUR_PSENE:Sensor.WHN_XR_GRIP_VAC_PSEN.DV.M_OUTPUT.DNDMxDEF:VARIABLE_POOL;AUR gripper vacuum pressure analog value
AUR;DV_wafhnd:WHN_UR_WRIST_Z_CAL_VSO@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;AUR wrist Rz calibration sensor analog value
AUR;DV_wafhnd:WHN_UR_BODY_Z_HOME_PROX@M_OUTPUT.DNDMxDEF:VARIABLE_POOL;AUR Z-home sensor signal
